activation,optimizer,epoch,loss,type
GELU,SGD,1,0.8798490443935214,Single
GELU,SGD,2,0.7513473869404937,Single
GELU,SGD,3,0.6456563169198263,Single
GELU,SGD,4,0.5036967005513009,Single
GELU,SGD,5,0.45662470752922424,Single
GELU,SGD,6,0.39627013433564384,Single
GELU,SGD,7,0.30516301471197504,Single
GELU,SGD,8,0.31180864160493815,Single
GELU,SGD,9,0.21818507800538373,Single
GELU,SGD,10,0.2304180020600166,Single
GELU,Adam,1,0.8961685306091114,Single
GELU,Adam,2,0.6911155924947575,Single
GELU,Adam,3,0.6920902721118296,Single
GELU,Adam,4,0.566001175506582,Single
GELU,Adam,5,0.45571610364232734,Single
GELU,Adam,6,0.4281011715704788,Single
GELU,Adam,7,0.31055893176960236,Single
GELU,Adam,8,0.24338586286948116,Single
GELU,Adam,9,0.22313261177014354,Single
GELU,Adam,10,0.21777616207276781,Single
GELU,AdamW,1,0.8852190552748128,Single
GELU,AdamW,2,0.6866053493334884,Single
GELU,AdamW,3,0.6383247995640355,Single
GELU,AdamW,4,0.4962769335029268,Single
GELU,AdamW,5,0.484320799847993,Single
GELU,AdamW,6,0.41714934351629607,Single
GELU,AdamW,7,0.34081758566712866,Single
GELU,AdamW,8,0.2904145175530784,Single
GELU,AdamW,9,0.19759307250144256,Single
GELU,AdamW,10,0.22229312440938032,Single
GELU,RAdam,1,0.9325003801509517,Single
GELU,RAdam,2,0.7501024787135311,Single
GELU,RAdam,3,0.6102517572792555,Single
GELU,RAdam,4,0.5117164989867867,Single
GELU,RAdam,5,0.4820781082773461,Single
GELU,RAdam,6,0.35467799874989125,Single
GELU,RAdam,7,0.33745842406214666,Single
GELU,RAdam,8,0.3110218041725499,Single
GELU,RAdam,9,0.24433248514297334,Single
GELU,RAdam,10,0.25831378691411505,Single
GELU,Sophia,1,0.8687712534851684,Single
GELU,Sophia,2,0.755832527002931,Single
GELU,Sophia,3,0.6283571579276813,Single
GELU,Sophia,4,0.5452310099213156,Single
GELU,Sophia,5,0.49524027952059957,Single
GELU,Sophia,6,0.38397436883407465,Single
GELU,Sophia,7,0.29910572475525654,Single
GELU,Sophia,8,0.3100674246383943,Single
GELU,Sophia,9,0.2385040973221524,Single
GELU,Sophia,10,0.18230574904985747,Single
GELU,LAMB,1,0.8540127665508134,Single
GELU,LAMB,2,0.783926188491433,Single
GELU,LAMB,3,0.6556249011527243,Single
GELU,LAMB,4,0.4982437856276286,Single
GELU,LAMB,5,0.42539636845189016,Single
GELU,LAMB,6,0.3963014990667122,Single
GELU,LAMB,7,0.3395781551812592,Single
GELU,LAMB,8,0.2870319678697871,Single
GELU,LAMB,9,0.22563791757299187,Single
GELU,LAMB,10,0.2471060664710515,Single
PAReLU,SGD,1,0.9168210634983774,Single
PAReLU,SGD,2,0.7677510035341192,Single
PAReLU,SGD,3,0.678160989069336,Single
PAReLU,SGD,4,0.5882054101579942,Single
PAReLU,SGD,5,0.41917933701518634,Single
PAReLU,SGD,6,0.39737235998680775,Single
PAReLU,SGD,7,0.3503295130120215,Single
PAReLU,SGD,8,0.28158352374919177,Single
PAReLU,SGD,9,0.16643195111579095,Single
PAReLU,SGD,10,0.25435338737131924,Single
PAReLU,Adam,1,0.9240287611631872,Single
PAReLU,Adam,2,0.6964465687876176,Single
PAReLU,Adam,3,0.6170016784051043,Single
PAReLU,Adam,4,0.554337528594235,Single
PAReLU,Adam,5,0.4522224338172258,Single
PAReLU,Adam,6,0.395180125291605,Single
PAReLU,Adam,7,0.3908601310907133,Single
PAReLU,Adam,8,0.296766555852505,Single
PAReLU,Adam,9,0.26194632563403,Single
PAReLU,Adam,10,0.222065952082321,Single
PAReLU,AdamW,1,0.8480560501334135,Single
PAReLU,AdamW,2,0.7529843040964714,Single
PAReLU,AdamW,3,0.566009191493753,Single
PAReLU,AdamW,4,0.5361864493606825,Single
PAReLU,AdamW,5,0.43947856577260935,Single
PAReLU,AdamW,6,0.32175493358923135,Single
PAReLU,AdamW,7,0.2986454577903332,Single
PAReLU,AdamW,8,0.23136289301477514,Single
PAReLU,AdamW,9,0.2499686280570595,Single
PAReLU,AdamW,10,0.21258663882550538,Single
PAReLU,RAdam,1,0.8774566787169549,Single
PAReLU,RAdam,2,0.7818874531083555,Single
PAReLU,RAdam,3,0.606106074017763,Single
PAReLU,RAdam,4,0.5376885504699958,Single
PAReLU,RAdam,5,0.4611678304383155,Single
PAReLU,RAdam,6,0.416017908908993,Single
PAReLU,RAdam,7,0.3292292380385801,Single
PAReLU,RAdam,8,0.276215039297325,Single
PAReLU,RAdam,9,0.18751878016168597,Single
PAReLU,RAdam,10,0.1659965562846786,Single
PAReLU,Sophia,1,0.9012024265089958,Single
PAReLU,Sophia,2,0.7910694514993812,Single
PAReLU,Sophia,3,0.6233466668102419,Single
PAReLU,Sophia,4,0.5044783589171858,Single
PAReLU,Sophia,5,0.49421845844622064,Single
PAReLU,Sophia,6,0.4005094558064705,Single
PAReLU,Sophia,7,0.3344970846384465,Single
PAReLU,Sophia,8,0.28163655214107686,Single
PAReLU,Sophia,9,0.2813645141160667,Single
PAReLU,Sophia,10,0.2579952811699968,Single
PAReLU,LAMB,1,0.9208268253246396,Single
PAReLU,LAMB,2,0.7441074071758296,Single
PAReLU,LAMB,3,0.6151540713397856,Single
PAReLU,LAMB,4,0.49655567802066164,Single
PAReLU,LAMB,5,0.43190282544069875,Single
PAReLU,LAMB,6,0.4040123531169554,Single
PAReLU,LAMB,7,0.40031495453272375,Single
PAReLU,LAMB,8,0.23540254148022852,Single
PAReLU,LAMB,9,0.2572964141385955,Single
PAReLU,LAMB,10,0.18414858910791504,Single
DynamicSwish,SGD,1,0.9011482821001242,Single
DynamicSwish,SGD,2,0.7679219344349354,Single
DynamicSwish,SGD,3,0.6067037960208252,Single
DynamicSwish,SGD,4,0.5027131544227038,Single
DynamicSwish,SGD,5,0.4892443975869368,Single
DynamicSwish,SGD,6,0.38045662617455,Single
DynamicSwish,SGD,7,0.37156888042666236,Single
DynamicSwish,SGD,8,0.2327059882200025,Single
DynamicSwish,SGD,9,0.2733091925844099,Single
DynamicSwish,SGD,10,0.25135216154867107,Single
DynamicSwish,Adam,1,0.854988324068285,Single
DynamicSwish,Adam,2,0.7772170350540359,Single
DynamicSwish,Adam,3,0.6398085263485819,Single
DynamicSwish,Adam,4,0.517316733155118,Single
DynamicSwish,Adam,5,0.4736715439181508,Single
DynamicSwish,Adam,6,0.38513949543867065,Single
DynamicSwish,Adam,7,0.3541493697486474,Single
DynamicSwish,Adam,8,0.2827046235089188,Single
DynamicSwish,Adam,9,0.278241891792611,Single
DynamicSwish,Adam,10,0.23403419197185693,Single
DynamicSwish,AdamW,1,0.8947039443424304,Single
DynamicSwish,AdamW,2,0.7313698973225483,Single
DynamicSwish,AdamW,3,0.6902423358952664,Single
DynamicSwish,AdamW,4,0.5554283080187582,Single
DynamicSwish,AdamW,5,0.4854530241353695,Single
DynamicSwish,AdamW,6,0.3611770528614933,Single
DynamicSwish,AdamW,7,0.31867939691346137,Single
DynamicSwish,AdamW,8,0.25959429204939843,Single
DynamicSwish,AdamW,9,0.27749306710332494,Single
